Currency,Description,Keyword,Price,Quantity Available,Rate of Sale(per day),Total no. sold,feedback,rating,seller name
C $,Portable Silicone Telescopic Drinking Collapsible Folding Cup Travel Camping NEW,Sporting Goods,1.99,10,2.9791666666666665,1083.0,50624,,homedelidge
US $,New Double Outdoor Person Travel Camping Hanging Hammock Bed With Mosquito Net,Sporting Goods,17.98,10,1.5072463768115942,152.0,5632,,unique_factory
US $,Men's Running Shoes Speedcross 3 Outdoor Hiking Sneakers Athletic Sneakers Sport,Outdoor Sports,9.99,10,,,158,,p6pwnd2
US $,Contigo 24 oz. Ashland Autospout Water Bottle,"Canteens, Bottles & Flasks",12.99,10,4.24,1530.0,406675,,forzasports
US $,"Tactical Military Molle Cell Phone Pouch Case Belt Bag For Smartphone 5.5""",Other Camping/Hiking Backpacks,3.19,10,1.7596153846153846,749.0,57378,,oo_875
US $,New Color!50-100FT 2mm Paracord Micro Cord Parachute Cord Tent Lanyard Rope,Paracord Bracelets,1.97,10,8.307692307692308,530.0,6490,,punk-koala
US $,Outdoor Portable Camping Climbing Hunting Knife EDC Survival Self-defence Tool E,"Pocket, Multi Tools",2.41,10,,,142944,,broadfashion
C $,Outdoor Camping Hiking Survival Fire Starter Flint Match Metal Lighter Emergenc,Other Emergency Gear,1.25,10,5.714285714285714,364.0,48853,,wonderful-shop88
US $,New Multi-Tool Wrench Jaw Screwdrive Pliers Knife Set Survival Gear Adjustable,"Pocket, Multi Tools",9.69,5,,,47439,,topelectronics2010
US $,Golden Mini Portable LED Flashlight Torch Lamp Handheld Camping Keychain Light,Flashlights,2.99,10,16.5,2620.0,1277,5.0,zqlighting2016
US $,NEW Women Outdoor Design Resin Field Urinal Camping Hiking Sports Accessory Tool,Other Emergency Gear,1.26,10,,,248880,4.6,beyondhuangmj
US $,MRE RCIR French Military Food Ration 24H MENU Combat Daily Pack Survival Box ,MREs & Freeze-Dried Food,41.95,10,2.8297872340425534,826.0,290,4.8,foodrations.lt
